,nombre_peli,nombre_actxr,conocido_por,year_nacimiento,profesiones_string,premios
551,Marshall County,Robert T. Barrett,"['Leader of the Pack', 'The Far Flung Star']",N/A,Reparto,Robert Barrett
552,Marshall County,Jim Cash,"['Marshall County', 'Out of My Hands']",N/A,Reparto,N/A
553,Marshall County,Priscilla Davies,"['Euphoria', 'Total Forgiveness']",N/A,Reparto,N/A
554,Marshall County,Priscilla Davies,"['Marshall County', 'Troopers']",N/A,Reparto,N/A
555,Marshall County,Cedric D. Jones,"['Redención (Southpaw)', 'Princess of the Row']",2023,Reparto,N/A
556,Marshall County,John Kaye,['Marshall County'],N/A,Reparto,N/A
557,Marshall County,Shon Lange,"['Agentes de S.H.I.E.L.D.', 'En defensa propia']",marzo,"Reparto, Producción, Guion",N/A
558,Marshall County,Javier Rivas,"['Showdown in Durango', 'The Better-Flee-Effect']",1965,"Reparto, Producción, Dirección",N/A
559,Noche Sangrienta,Trent Buxton,"['Paragon', 'Behind Closed Doors']",N/A,"Reparto, Producción",14 premios y 6 nominaciones
560,Noche Sangrienta,Kelley Daniel,"['Immune', 'The Wrong Guy']",N/A,"Producción, Reparto, Dirección de la segunda unidad o asistencia a dirección",2 premios
561,Noche Sangrienta,Zsolt Dér,"['Sin destino', 'Dub Hard']",1989,"Reparto, Guion, Dirección",Zsolt Der
562,Noche Sangrienta,Christoph Fortmann,"['Gallery Weekend', 'Noche Sangrienta']",N/A,Reparto,N/A
563,Noche Sangrienta,Pau Masó,"['Complete Strangers', ""Aleksandr's Price""]",1986,"Reparto, Dirección, Guion",N/A
564,Noche Sangrienta,Anna Rust,"['Carnival Row', 'Ofelia']",1995,"Reparto, Dirección, Guion",11 premios y 4 nominaciones
565,The Hardest Six,Melisa Akcam,['The Hardest Six'],N/A,Reparto,N/A
566,The Hardest Six,Phil Amico,"['Inside', 'Senior Cut Day: The Movie']",N/A,Reparto,N/A
567,The Hardest Six,Sarah Asher,"['The Hardest Six', 'New York: A Documentary Film']",N/A,"Reparto, Equipos adicionales",N/A
568,The Hardest Six,Kai Brewer,['The Hardest Six'],N/A,Reparto,N/A
569,The Hardest Six,Bobbi Buchman,['The Hardest Six'],N/A,Reparto,N/A
570,The Hardest Six,Russell Carter,['The Hardest Six'],N/A,Reparto,N/A
571,The Hardest Six,Julie Chapin,"['Sangre Negra...Black Blood', 'Ageless Love']",N/A,"Reparto, Producción, Guion",1 premio y 2 nominaciones
572,The Hardest Six,Brian C. Chenworth,"['Four Hour Layover in Juarez', 'The Last Operative']",1987,"Reparto, Equipos adicionales, Especialistas",1 premio y 1 nominación
573,Honey in the Moon,Reid Cox,"['La chica invisible', 'Día a día']",N/A,"Reparto, Guion y continuidad, Producción",N/A
574,Pickaxe,Logan Hunt,"['Atlas', 'Bumblebee']",N/A,"Reparto, Producción, Equipos adicionales","1,83 m"
575,Pickaxe,Isaac Pena,['Pickaxe'],N/A,Reparto,N/A
576,Sonic,Jaleel White,"['Cosas de casa', 'Big Fat Liar (Gordo mentiroso)']",1976,"Reparto, Producción, Guion",6 premios y 5 nominaciones
577,Sonic,DJ Hazard,"['Sonic', 'American Misfits']",N/A,Reparto,D.J. Hazard
578,Sonic,Lauren Schacher,"['Terapia sexual', 'The Canyons']",agosto,"Reparto, Guion, Dirección","1,63 m"
579,Sonic,Gary Lee Mahmoud,"['The Sinner', 'El reverendo (First Reformed)']",1978,"Reparto, Guion, Producción",N/A
580,Sonic,Celia Au,"['Lodge 49', 'Wu Assassins']",N/A,"Reparto, Producción, Dirección",1 nominación
581,Sonic,Artie Brennan,"['American Genius', 'House of Cards']",N/A,"Reparto, Guion, Producción",13 premios y 6 nominaciones
582,Sonic,Terrence Montgomery,"['Death of a Vacuum', 'Come Down Molly']",N/A,Reparto,1 premio y 3 nominaciones
583,Sonic,Anupama Chakravartti,"['Sonic', 'Julian Got the Part']",N/A,"Reparto, Equipos adicionales",N/A
584,Panda Run,Clovis Vinant-Tang,"['Van Dexter, Vampire Slayer Begins', 'Panda Run']",N/A,Reparto,N/A
585,Panda Run,Gary Lee Mahmoud,"['The Sinner', 'El reverendo (First Reformed)']",1978,"Reparto, Guion, Producción",N/A
586,Judge Minty,Edmund Dehn,"['Knightmare', 'Judge Minty']",N/A,Reparto,1 premio y 4 nominaciones
587,Judge Minty,Greg Staples,"['Guerra mundial Z', 'Dredd']",N/A,"Arte, Vestuario, Reparto",N/A
588,Judge Minty,Mark Watson,"['Judge Minty', 'Search/Destroy: A Strontium Dog Fan Film']",N/A,Reparto,N/A
589,Judge Minty,Peter Seddon,"['Judge Minty', 'The Plague']",N/A,Reparto,N/A
590,Judge Minty,Domino Barbeau,['Judge Minty'],N/A,Reparto,N/A
591,Judge Minty,Jared Butler,"[""Pirates of the Caribbean: At World's End"", 'Blood Money']",N/A,"Reparto, Equipos adicionales, Guion",N/A
592,Judge Minty,Fryda Wolff,"['Apex Legends', 'Casa Búho']",mayo,"Reparto, Sonido, Equipos adicionales",N/A
593,Judge Minty,Mark Engelhardt,"['American Horror Story', 'Navy: Investigación criminal']",1975,"Reparto, Equipos adicionales",N/A
594,The Boss: Head Count,Liz Katz,"['Guest House', 'Borderlands 3']",1988,"Reparto, Dirección, Guion",N/A
595,Downsize Games,Taylor Erwin,"['Berkshire County', 'Downsize Games']",N/A,"Reparto, Equipos adicionales",N/A
596,Downsize Games,Kara Harun,"[""Leo's Pollinators"", ""Aunty B's House""]",N/A,"Guion, Reparto, Dirección",2 nominaciones
597,Downsize Games,Garrett Jamieson,"['Heavy Metal Hitchhiker', 'Venganza: Orígenes']",N/A,"Reparto, Guion, Producción",N/A
598,Downsize Games,Chris MacLean,['Downsize Games'],N/A,Reparto,N/A
599,Downsize Games,Cheryl Meyer,"['The Last Mark', 'All the Lost Ones']",N/A,"Guion, Producción, Reparto",C.A. Meyer
600,Downsize Games,Gurshaan Pabla,['Downsize Games'],N/A,Reparto,N/A
601,Downsize Games,Russell Roy,"['Downsize Games', 'Masterminds']",N/A,Reparto,N/A
602,Gotta Lighten Up,Rachael Allenby,['Gotta Lighten Up'],N/A,Reparto,N/A
