ID,Nombre,Tipo,Año de Estreno,Mes de Estreno,Genero
tt18969190,Superboy prime the movie,Movie,2023,11,Accion
tt18969216,Spiderman unlimited the movie,Movie,2023,11,Accion
tt18990260,Android kikaider the movie,Movie,2023,11,Accion
tt18990216,Yugioh the movie,Movie,2023,11,Accion
tt19113854,Convict,Movie,,,Accion
tt19077558,Mastná Pliaga,Movie,2023,8,Accion
tt19358602,The Big O movie,Movie,2023,11,Accion
tt19358722,Samurai jack the movie,Movie,2023,11,Accion
tt19358704,Grand Theft auto the movie,Movie,2023,11,Accion
tt19358674,Ninja Gaiden the movie,Movie,2023,11,Accion
tt19358822,Static Shock the movie,Movie,2023,11,Accion
tt19358808,Mortal Kombat: Shaolin Monks the movie,Movie,2023,11,Accion
tt19365520,Superman one million the movie (D.C one million),Movie,2023,11,Accion
tt19365502,Nightwing the movie,Movie,2023,11,Accion
tt19365572,Hard to kill 2,Movie,2023,11,Accion
tt19365508,Quicksilver the movie,Movie,2023,12,Accion
tt19372642,Man on fire 2,Movie,2023,12,Accion
tt19372590,The warriors 2,Movie,2023,12,Accion
tt19372640,Spawn vs Blade the movie,Movie,2023,12,Accion
tt19372704,Superman doomsday the movie,Movie,2023,12,Accion
tt19372676,Superman vs Brainiac the movie,Movie,2023,12,Accion
tt19372716,Street fighter the movie,Movie,2023,12,Accion
tt19383410,Mortal Kombat vs D.C Universe the movie,Movie,2023,12,Accion
tt19389862,Street fighter the movie,Movie,2023,12,Accion
tt19394258,Tariq,Movie,2023,8,Accion
tt19500164,Nimona,Movie,2023,6,Accion
tt19753612,The Quirk,Movie,,,Accion
tt19755170,Bawaal,Movie,2023,7,Accion
tt19812128,The Insanity: Retribution,Movie,2023,10,Accion
tt19883074,Madre Tierra,Movie,2023,,Accion
tt19884572,When Girls Ride,Movie,2023,8,Accion
tt19372648,Green arrow the movie,Movie,2023,12,Accion
tt20237154,This War of Mine,Movie,2023,5,Accion
tt20319598,Lakadbaggha,Movie,2023,1,Accion
tt20355484,Ett sista race,Movie,2023,12,Accion
tt20425440,BGil Studios' the Dragonfly: Born Again,Movie,2023,9,Accion
tt20518312,Static Codes,Movie,2023,8,Accion
tt20722940,Stereo Crashers,Movie,2023,6,Accion
tt20754096,The Deceiver,Movie,2023,6,Accion
tt21041232,Scrappy Bot,Movie,2023,6,Accion
tt21141958,Daadal,Movie,2023,4,Accion
tt21294600,Gold-Verse Studios' 'The Grid',Movie,2023,12,Accion
tt21435580,Hermosa Justicia,Movie,2023,4,Accion
tt21741198,49,Movie,2023,1,Accion
tt21941216,Nefes: Yer Eksi Iki,Movie,2023,12,Accion
tt21938428,What We Become,Movie,2023,4,Accion
tt22016156,Avgrunden,Movie,2023,9,Accion
tt22185436,A Season in Hell!,Movie,2023,7,Accion
tt22444570,Ponniyin Selvan: Part Two,Movie,2023,4,Accion
tt22488024,Sakra,Movie,2023,1,Accion
tt22535196,Aliens the Awakening,Movie,2023,8,Accion
tt22813112,Noryang,Movie,2023,12,Accion
tt22868844,Burakku Kurôbâ: Mahôtei no Ken,Movie,2023,6,Accion
tt22869636,Düses 1 - Mafya Sizintisi,Movie,2023,1,Accion
tt22907680,Surya,Movie,2023,1,Accion
tt23024254,Omme Nodide,Movie,2023,6,Accion
tt23037838,I Soli Oscuri,Movie,2023,5,Accion
tt23219684,Mighty Morphin Power Rangers: Once & Always,Movie,2023,4,Accion
tt23289160,Godzilla Minus One,Movie,2023,12,Accion
tt23490586,Amigos,Movie,2023,2,Accion
tt23546666,Otoban Katilleri,Movie,2023,8,Accion
tt23638846,Princess Principal: Crown Handler: Chapter 3,Movie,2023,4,Accion
tt23650066,Da hai guai,Movie,2023,1,Accion
tt23745844,Das Ka Dhamki,Movie,2023,3,Accion
tt23751706,Resgate na selva 2023,Movie,2023,7,Accion
tt23812736,Ninpu Sentai Hurricaneger Degozaru! Shushuuto 20th Anniversary,Movie,2023,6,Accion
tt23870054,Marca de Sangue(2022/1),Movie,2023,7,Accion
tt23950632,Ultraman Decker Finale: Journey to Beyond,Movie,2023,2,Accion
tt24021742,Senapura,Movie,2023,3,Accion
tt24133274,Do or Die,Movie,2023,2,Accion
tt24133834,Rapid Action,Movie,2023,1,Accion
tt21987648,Inherited,Movie,2023,10,Accion
tt22097422,Ant-Man the Beginning,Movie,2023,5,Accion
tt24243464,Robot Chicken,Movie,2023,11,Accion
tt24250570,Wes Diego,Movie,2023,3,Accion
tt24330196,Selfiee,Movie,2023,2,Accion
tt24485282,Intikam Oyunlari,Movie,2023,4,Accion
tt24517876,Junior,Movie,2023,8,Accion
tt24581070,Coast Guard Malaysia: Ops Helang,Movie,2023,2,Accion
tt24657462,SSSS.Gridman,Movie,2023,1,Accion
tt24787322,Gurudev Hoysala,Movie,2023,3,Accion
tt25010142,Nanatsu no Taizai : Ensa no Edinburgh 2,Movie,2023,8,Accion
tt25049302,The Come Up,Movie,2023,1,Accion
tt25272982,Once Upon A Time in Philly Part 2,Movie,2023,2,Accion
tt25376340,Char Cup Chai,Movie,2023,6,Accion
tt25399466,SSSS.Dynazenon,Movie,2023,3,Accion
tt25402442,L'axe lourd,Movie,2023,1,Accion
tt25402886,Xzee vs OTTWitt,Movie,2023,5,Accion
tt25403912,Duan Nago Bogho,Movie,2023,1,Accion
tt25406052,Kingdom: Unmei no Hono,Movie,2023,7,Accion
