Nombre,Puntuacion_IMDB,Puntuacion_Rotten_Tomatoes,Director,Guionistas,Argumento,Duracion
Bibliothèque Pascal,"7,0",,Szabolcs Hajdu,Szabolcs Hajdu,"In order to regain custody of her daughter, whom she left in the care of her fortune-telling aunt, Mona must tell a social worker her story. The tale she spins---and the movie we watch---is a wild, surreal adventure in which people are able to project and enter each other's dreams, and our heroine is sold into slavery and lands in a swank, debauched Liverpool brothel ... Leer todo",1h 45min
Rosso autunno,,,Paolo Aralla,,"A compelling story of crimes occurring over a period of a few days, police chief Juri and his team must find out the truth despite numerous dangers, in search of the murderer and the need to capture him before other victims do. A thriller with many unexpected surprises until the last minute.",
Opal,"8,0",,Dina Ciraulo,Dina Ciraulo,Based on a true story about self-taught naturalist and cult icon Opal Whiteley.,1h 19min
The Steamroom,"7,4",,Donald Flaherty Fajardo,Donald Flaherty Fajardo,Four men discover the importance of friendship when one is faced with a life-altering decision.,1h 31min
Love Sick Diaries,"7,8",,Mike Ahuja,Mike Ahuja,"A film that attempts to reconstruct the expected, while taking you on a journey through the heart of a young man battling his addiction of love, life, and obsession. This is a sick and twisted love story that tackles the ""Love is blind"" theme in a whole new innovative fashion.",
Prime of Your Life,"5,2",0%,Kelly L. King,Nicole AbisinioBrandon Cotter,"A 20-something slacker girl meets a handsome rebel at her best friend's funeral. She partners up with him and through a series of cons, finds her path to independence and love.",1h 33min
The Runaways,"6,5",69%,Floria Sigismondi,Floria SigismondiCherie Currie,"Una película biográfica sobre la banda de rock de chicas adolescentes de la década de 1970 The Runaways, donde se explora la relación entre los miembros de la banda Cherie Currie y Joan Jett.",1h 46min
Woyzeck 2010,,,Gísli Örn Garðarsson,Georg BüchnerGísli Örn Garðarsson,"About a young man struggling to make the best from what life has dealt him. A hostage to fortune, class and his sadistic superiors, Woyzeck's fate is played out in a series of nightmarish encounters. He stumbles through a world of macabre carnival, sexual betrayal and cruel oppression, pursued by the demons of his own paranoid fantasies. Pushed beyond breaking point, ... Leer todo",1h 20min
Deal,,,Isaac Combs,Isaac Combs,A Los Angeles crime saga focuses on a detective who turns his back on his drug lord younger brother.,1h 41min
Patagonia,"6,6",45%,Marc Evans,Laurence CoriatMarc Evans,A young Welsh couple travel to Argentina to work on their relationship.,1h 59min
Centurion,"6,3",60%,Neil Marshall,Neil Marshall,Un grupo disidente de soldados romanos lucha por su vida tras las líneas enemigas después de que su legión sea devastada en un ataque de guerrilla.,1h 37min
Copie conforme,"7,2",89%,Abbas Kiarostami,Abbas KiarostamiCaroline Eliacheff,"En la Toscana, un escritor británico de mediana edad conoce a una mujer francesa que lo lleva al pueblo de Lucignano.",1h 46min
Rising Star,,,Lawrence Kopelman,Bernard Koppleman,The story of stand up comedian Jimmy Randall and his conflicts in finding success in his career and holding on to the love of his life at the same time.,1h 38min
The Way Back,"7,3",74%,Peter Weir,Peter WeirKeith R. ClarkeSlavomir Rawicz,"Los escapados del Gulag siberiano viajan 4,000 millas a pie hacia la libertad en India.",2h 13min
What About Cuba?,,,Bob Anderson,,,TV-PG
Wall Street: Money Never Sleeps,"6,2",55%,Oliver Stone,Allan LoebStephen SchiffStanley Weiser,"Ahora fuera de prisión pero aún deshonrado, Gordon Gekko trabaja con su futuro yerno, un corredor de bolsa idealista, cuando ve la oportunidad de derrotar a un enemigo de Wall Street y reconstruir su imperio.",2h 13min
Secretariat,"7,2",64%,Randall Wallace,Mike RichWilliam Nack(suggestion),"En 1973, Penny Chenery Tweedy y sus compañeros guían a su precoz semental hacia los tres récords de la Triple Corona.",2h 3min
Sawariya lai de ho rangni chudi,,,Haresh Patel,Mukesh Malvankar,,
Jai Balaji Mehndipur Wale,,,,,,
The Book of Eli,"6,8",47%,Albert HughesAllen Hughes,Gary Whitta,Un hombre solitario se abre camino a través de una América postapocalíptica para proteger un libro sagrado que contiene los secretos para salvar a la humanidad.,1h 58min
Let the Game Begin,"5,0",37%,Amit Gupta,Amit Gupta,"Tripp is an average frustrated chump, who comes up with a golden idea. He partners with Gary, a Wall Street wheeler and dealer, and brings his cousin, Rowan, on-board to help with his business. As Tripp and Rowan journey together for business, Tripp learns about Rowan's extraordinary skills- skills in attracting women. The duo realizes that business and relationships ... Leer todo",1h 50min
